school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
X273,0.0842,0.6447,0,0.9341,0.2674,0.0183,0.0147,0.3223,All Grades,272,NA,NA,Minority,Hispanic
X286,0.1685,0.7116,0.0112,1,0.2397,0.0075,0.0075,0.2622,All Grades,271,NA,NA,Minority,Hispanic
X300,0.15,0.5969,0.0016,0.8953,0.2313,0.0063,0.0063,0.3891,All Grades,277,NA,NA,Minority,Hispanic
X314,0.1667,0.5992,0.0079,0.8849,0.2302,0.0119,0,0.381,All Grades,261,No,0.06818181818181818,Minority,Hispanic
X316,0.0946,0.6418,0.0086,0.8797,0.2206,0.0172,0.0172,0.3152,All Grades,285,NA,NA,Minority,Hispanic
X318,0.1646,0.6768,0,0.9146,0.2439,0.0305,0,0.2927,All Grades,274,NA,NA,Minority,Hispanic
X341,0.1711,0.6645,0.0066,0.8618,0.3421,0.0066,0.0263,0.2961,All Grades,279,NA,NA,Minority,Hispanic
X372,0.0911,0.7075,0.0105,1,0.2084,0.0175,0.0193,0.2452,All Grades,270,NA,NA,Minority,Hispanic
X383,0.1826,0.6473,0.0498,0.8423,0.2448,0.0124,0.0207,0.2697,All Grades,278,NA,NA,Minority,Hispanic
X384,0.3356,0.8151,0.0068,0.9349,0.2021,0.0137,0.0103,0.1541,All Grades,265,NA,NA,Minority,Hispanic
X463,0.1306,0.535,0.0032,0.9682,0.2261,0.0064,0.0064,0.449,All Grades,287,NA,NA,Minority,Hispanic
X531,0.2359,0.6008,0.0242,1,0.2218,0.0121,0.0968,0.2661,All Grades,284,NA,NA,Minority,Hispanic
X536,0.2328,0.6888,0.0261,1,0.1591,0.0071,0.0523,0.2257,All Grades,280,NA,NA,Minority,Hispanic
X691,0.0894,0.6676,0.0168,0.9078,0.2067,0.0084,0.1089,0.1983,All Grades,283,NA,NA,Minority,Hispanic
